station_name,latitude,longitude
Queen St E / Berkeley St,,
Queen St E / George St (Moss Park),43.6559995,-79.3705289
Queen St E / Hammersmith Ave,,
Queen St E / Nursewood Rd (Neville Park Loop),,
Queen St E / Pape Ave - SMART,,
Queen St E / Rushbrooke Ave,,
Queen St E / Sackville St,,
Queen St E / Woodward Ave,,
Queen St W  /  Fuller Ave - SMART,,
Queen St W / Close Ave,,
Queen St W / Cowan Ave,,
Queen St W / Dovercourt Rd,,
Queen St W / Gladstone Ave,43.6431934,-79.4272775
Queen St W / James St,,
Queen St W / John St,43.6500758,-79.3912672
Queen St W / Ossington Ave,43.6443432,-79.4190046
Queen St W / Portland St,,
Queen St W / Roncesvalles Ave,43.6390239,-79.4462213
Queen St W / Spadina Ave,43.6490263,-79.3954413
Queen St W / York St (City Hall),,
Queen St. E / Eastern Ave,43.6668003,-79.3127653
Queen St. E / Rhodes Ave.,,
Queen St. E / Spruce Hill Rd.,,
Queen's Park / Bloor St W,43.6660951,-79.3931643
Queen's Park Cres E / Grosvenor St - SMART,,
Queen's Park Cres W / Hoskin Ave,,
Queens Quay / Yonge St,,
Queens Quay E / Lower Sherbourne St,,
Queens Quay W / Dan Leckie Way,,
Queens Quay W / Lower Simcoe St,43.6394636,-79.383704
Regal Rd / Dufferin St,43.6740176,-79.4409681
Richmond St E / Jarvis St Green P,,
Richmond St E / Yonge St,43.6525625,-79.3756179
Richmond St W / York St,43.6493308,-79.3887698
Ripley Ave / Ormskirk Ave,43.6392213,-79.4758775
Riverdale Park North (Broadview Ave),,
Riverdale Park South (Broadview Ave),,
Robert St / Bloor St W - SMART,,
Roehampton Ave / Mount Pleasant Rd,43.7095353,-79.3904994
Roehampton St / Bayview Ave,43.7117489,-79.3784707
Roncesvalles Ave / Marmaduke St,43.6504984,-79.4508926
Rosedale Park (20 Schofield Ave),,
Rosehill Ave / Avoca Ave - SMART,,
Ross St / Cecil St - SMART,,
Rouge Hill GO Station,43.7807349,-79.1304775
Roxborough St W / Yonge St,,
Roxton Rd / Harbord St,,
Royal York Rd / Lake Shore Blvd W,43.6038834,-79.4930047
Royal York Rd / Mimico Ave,43.6120886,-79.4965848
Runnymede Rd / Annette St,43.6601825,-79.4797864
Rusholme Park Cres / College St,43.6528085,-79.4298666
Rushton Rd / St Clair Ave W,43.6810959,-79.4277004
Russell Hill Rd / St Clair Ave W,43.6856233,-79.4080346
Russell St / Huron St - SMART,,
Sackville St / Eastern Ave - SMART,,
Salem Ave / Bloor St W,,
Scott St / The Esplanade,43.6464413,-79.3751047
Seaton St / Dundas St E - SMART,,
Sentinel Rd / Finch Hydro Corridor,,
Shaw St / Essex St - SMART,,
Sherbourne St / Carlton St (Allan Gardens),,
Sherbourne St / Isabella St,,
Sherbourne St / Wellesley St E,43.6668802,-79.3748562
Sherbourne St N / Elm Ave,43.6752043,-79.3778284
Simcoe St / Adelaide St W,,
Simcoe St / Dundas St W - SMART,,
Simcoe St / Michael Sweet Ave,,
Simcoe St / Queen St W,43.6449605,-79.3858589
Simcoe St / Wellington St North,,
Simcoe St / Wellington St South,,
Soho St / Queen St W,43.6495296,-79.3932237
Sorauren/Geoffrey (Sorauren Park) - SMART,,
Southwood Dr / Kingston Rd - SMART,,
Spadina Ave / Adelaide St W,,
Spadina Ave / Blue Jays Way,,
Spadina Ave / Fort York Blvd,43.6385229,-79.3918819
Spadina Ave / Harbord St - SMART,,
Spadina Ave / Sussex Ave - SMART,,
Spadina Ave / Willcocks St,,
Spadina Rd / Austin Terrace,,
Spadina Rd / St.Clair Ave West,43.6847392,-79.4105886
St Clair Ave W / Bathurst St.,43.6831802,-79.4187117
St Clair Ave W / Castleton Ave,,
St Clair Ave W / Gunns Rd,,
St Clair Ave W / Winona Ave,,
St Clair W Subway - Heath Entrance,,
St Clarens Ave / College St,,
St Clarens Ave / Shirley Ave,43.6486829,-79.4376644
St Columba Pl / St Clair Ave E,43.7057983,-79.310624
St Joseph St / Bay St - SMART,,
St. George St / Bloor St W,43.6671228,-79.3995476
St. George St / Hoskin Ave,43.6642354,-79.3982272
St. George St / Russell St - SMART,,
Starspray Ave / Lawrence Ave E,43.7886393,-79.1230988
Sterling Rd / Dundas St W,43.6507062,-79.4432424
Strachan Ave / Princes' Blvd,,
Sumach St  / Queen St E,43.6569513,-79.3587343
Sumach St / Carlton St. (Riverdale Farm),,
Summerhill Ave / Maclennan Ave,43.6857304,-79.3777482
Summerhill Station,43.6822959,-79.3907769
Sunnybrook Health Centre - L Wing,,
Sunnybrook Health Centre - S Wing,,
Sunnybrook Park,43.7172814,-79.3492135
Sunnyside - Gus Ryder Pool,43.637659,-79.4545301
Sunnyside Ave / The Queensway - SMART,,
Superior Ave / Lake Shore Blvd W,43.6150985,-79.4886115
Swansea Community Centre,43.6441232,-79.4768848
Symington Ave / Davenport Rd,43.6705733,-79.453762
Symington Ave / Dupont St,43.6656045,-79.4513956
Taddle Creek Park,43.6699578,-79.3988286
Tecumseth St / Queen St W - SMART,,
Ted Rogers Way / Bloor St E,,
Teddington Park Ave,43.7337893,-79.4009606
Temperance St. Station,43.650846,-79.3798833
The Esplanade / Hahn Pl,,
The Pond Rd / Sentinel Rd,,
The Queensway / High St,43.6388542,-79.4630833
The Queensway at South Kingsway,43.6362817,-79.4728966
The Royal Ontario Museum (Bloor St Entrance),,
Thompson St / Broadview Ave - SMART,,
Tommy Thompson Park (Leslie Street Spit),43.652105,-79.3230546
Toronto Eaton Centre (Yonge St),43.6541457,-79.3807928
Toronto Inukshuk Park,,
Torresdale Ave / Antibes Dr,43.782028,-79.449858
Trent Ave / Danforth Ave,43.6892938,-79.2958807
Trinity St /Front St E,,
Twelfth St / Thirteenth St,43.6005007,-79.5111013
Tyndall Ave / King St W - SMART,,
Ulster St / Bathurst St,43.659894,-79.4091924
Union Station,43.6447101,-79.3801397
University Ave / Armoury St,,
University Ave / College St (East),,
University Ave / College St (West),,
University Ave / Elm St,43.6564639,-79.3878214
University Ave / Gerrard St W (East Side),,
University Ave / Gerrard St W (WEST) - SMART,,
University Ave / King St W - SMART,,
University Ave / Queen St W,43.6506898,-79.3869757
University Ave / Richmond St W,,
University of Toronto Scarborough,43.7875211,-79.1887847
Vanauley St / Queen St W - SMART,,
Vaughan Rd / Oakwood Ave,43.6920025,-79.4398661
Vaughan Rd /Wychwood Ave,43.6826002,-79.4204075
Via Italia / Mackay Ave,,
Victoria Park Ave / Danforth Ave,43.6914045,-79.28814
Victoria Park Subway Station - SMART,,
Victoria St / Queen St E,43.6770643,-79.3352513
Wallace Ave / Pauline Ave,,
Wallace Ave / Symington Ave - SMART,,
Walnut Ave / Queen St W,43.6443147,-79.4100956
Walton St / Elizabeth St - SMART,,
Ward Ave / Wallace Ave,43.6630992,-79.4407156
Warehouse EBS-Station,,
Waterfront Trail (Rouge Hill),43.765496,-79.1471746
Wellesley St / Queen's Park Cres,43.6633509,-79.3904276
Wellesley Station Green P,,
Wellington St W / Bay St,43.6472034,-79.3799642
Wellington St W / Stafford St,,
Wellington St W / York St,43.6471705,-79.3795292
Wells Hill Ave / St Clair Ave W,,
Western Battery Rd / Pirandello St,,
Westmoreland Ave / Fernbank Ave,,
Weston Lions Park,43.6977645,-79.5156779
Weston Rd / St Clair Ave W - SMART,,
Widmer St / Adelaide St W,,
Wilket Creek Park,43.7196134,-79.3341152
Willcocks St / St. George St,43.662092,-79.3978569
Windsor St / Newcastle St,,
Winona Dr / Davenport Rd,43.6802741,-79.4324989
Woodbine Ave / Lake Shore Blvd E,43.6656744,-79.3047017
Woodbine Ave / O'Connor Dr,43.6992864,-79.3188026
Woodbine Subway Green P SMART,,
Woodbine Subway Station,43.6864791,-79.3122533
Wright / Sorauren (Sorauren Park) - SMART,,
Wychwood Ave / Benson Ave - SMART,,
Yarmouth Rd / Christie St,43.6698064,-79.420905
Yonge St / Alexander St - SMART,,
Yonge St / Aylmer Ave,,
Yonge St / Bloor St,43.6691804,-79.3863146
Yonge St / Davisville Ave,43.6976798,-79.3966076
Yonge St / Dundas Sq,43.6552868,-79.3805856
Yonge St / Dundonald St - SMART,,
Yonge St / Golfdale Rd,43.731985,-79.4037944
Yonge St / Harbour St,,
Yonge St / Lawrence Ave,43.7253816,-79.4021079
Yonge St / Montgomery Ave - SMART,,
Yonge St / Orchard View Blvd,,
Yonge St / St Clair Ave,43.6880777,-79.3943964
Yonge St / Woburn Ave - SMART,,
Yonge St / Wood St,,
Yonge St / Yorkville Ave,43.671925,-79.3878182
York St / Lakeshore St W - South,,
York St / Queens Quay W,,
York University (Glendon Campus) - SMART,,
York University Station (North),43.7741232,-79.4996291
York University Station (South) - SMART,,
