station_name,latitude,longitude
Jarvis St / Richmond St E,43.6526421,-79.374142
Jimmie Simpson Park (Queen St E),43.66138598792730,-79.34478267369640
John St  / Mercer St - SMART,43.646130303924400,-79.38949253079800
Joseph J Piccininni Community Centre,43.6753158,-79.4515427
Judson St / Royal York,43.61635218463010,-79.49840766020480
Keele St / Annette St,43.6636671,-79.463587
Keele St / Vine Ave,43.66673558926120,-79.46505193136720
Kendal Ave / Bernard Ave,43.67209233563450,-79.40841074486050
Kendal Ave / Spadina Rd,43.6704053,-79.4052087
Kew Beach Ave / Kenilworth Ave,43.66677965006000,-79.30066366020270
Kilgour Rd / Rumsey Rd,43.71829912404580,-79.37168499195580
King / Cowan Ave - SMART,43.63806159051610,-79.43185584855910
King St E / Church St,43.650002,-79.374494
King St E / Jarvis St,43.6501395,-79.3725329
King St E / Ontario St.,43.6518027410405,-79.3660818490542
King St E / River St,43.6569236,-79.356364
King St E / Victoria St,43.6495672336494,-79.3767516602034
King St W / Bay St (East Side),43.64882295272680,-79.37965619824380
King St W / Bay St (West Side),43.64866801853460,-79.38089809582710
King St W / Brant St,43.645129699972000,-79.39761113136800
King St W / Charlotte St (West Side),43.645631726708100,-79.39374716460640
King St W / Crawford St,43.64178969719110,-79.41379967369720
King St W / Douro St,43.6409481,-79.4164811
King St W / Fraser Ave,43.63964498813810,-79.4248466602039
King St W / Joe Shuster Way,43.6395764,-79.4237259
King St W / Jordan St,43.64912519798710,-79.3787379583548
King St W / Spadina Ave,43.6458183,-79.395113
King St W / Stafford St,43.64241254973860,-79.41073978090750
King St W / Tecumseth St,43.64356467699390,-79.40525780253270
King St W / York St,43.6478273,-79.3833728
Kings Mill Park,43.64945857462590,-79.49325556675900
Kingston Rd / Beech Ave,43.6804363312721,-79.29068154486010
Lake Shore Blvd E / Knox Ave,43.6603299,-79.3243635
Lake Shore Blvd E / Leslie St,43.65940989380320,-79.328485817874
Lake Shore Blvd W / Colborne Lodge Dr,43.63812643399160,-79.45897894486180
Lake Shore Blvd W / Ellis Ave,43.6359568,-79.4650412
Lake Shore Blvd W / Louisa St,43.61907897828990,-79.48646678719150
Lake Shore Blvd W / Ontario Dr,43.5977713,-79.5169115
Lake Shore Blvd W / The Boulevard Club,43.6366117,-79.4446502
